0;No Skill;Keine Fertigkeit;Empty slot;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;Heaeleeng Seegnet;Siegel der Heilung;Seegnet. Yuoo gaeeen 82..172 Heaelt. Yuoo haefe-a -40 aermur vheele-a useeng thees skeell.;0;21;21;1;0;0;2;4;0;0;0;0;0;0;0;
2;Resoorrecshun Seegnet;Siegel der Wiederbelebung;Seegnet. Resoorrects taerget paerty member (100% Heaelt, 25% Inergy). Thees seegnet oonly rechaerges vhee yuoo gaeeen a muraele-a buust.;0;-1;21;0;0;0;3;0;0;0;0;0;0;0;0;
3;Seegnet ooff Caeptoore-a;Siegel der Erbeutung;Seegnet. Chuuse-a oone-a skeell frum a neaerby deaed Buss ooff yuoor pruffesseeun. Seegnet ooff Caeptoore-a is permunently replaeced by thaet skeell. Iff thaet skeell vaes ileete-a, gaeeen 250 XP fur ifery lefel yuoo haefe-a iaerned. Bork! Bork! Bork!;0;-1;21;0;0;0;2;2;0;0;0;1;0;0;0;
5;Pooer Bluck;Kraftblock;Ileete-a Spell. Iff taerget fue-a is caesteeng a spell oor chunt, thaet skeell und aell skeells ooff zee saeme-a aettreeboote-a aere-a deesaebled (1..12 secunds) und thaet skeell is interroopted.;1;2;22;5;0;15;.25;20;0;0;1;0;0;0;0;
6;Muntra ooff Iaert;Mantra der Erde;Stunce-a. (30..90 secunds.) Redooces iaert daemaege-a yuoo taeke-a by 26..50%. Yuoo gaeeen 2 Inergy vhee yuoo taeke-a iaert daemaege-a.;0;3;29;5;0;10;0;20;0;0;0;0;0;0;0;
7;Muntra ooff Flaeme-a;Mantra des Feuers;Stunce-a. (30..90 secunds.) Redooces fure-a daemaege-a yuoo taeke-a by 26..50%. Yuoo gaeeen 2 Inergy vhee yuoo taeke-a fure-a daemaege-a.;0;3;29;5;0;10;0;20;0;0;0;0;0;0;0;
8;Muntra ooff Frust;Mantra des Frosts;Stunce-a. (30..90 secunds.) Redooces culd daemaege-a yuoo taeke-a by 26..50%. Yuoo gaeeen 2 Inergy vhee yuoo taeke-a culd daemaege-a.;0;3;29;5;0;10;0;20;0;0;0;0;0;0;0;
9;Muntra ooff Leeghtneeng;Mantra des Blitzes;Stunce-a. (30..90 secunds.) Redooces leeghtneeng daemaege-a yuoo taeke-a by 26..50%. Yuoo gaeeen 2 Inergy vhee yuoo taeke-a leeghtneeng daemaege-a.;0;3;29;5;0;10;0;20;0;0;0;0;0;0;0;
10;Hex Breaeker;Gebrochene Verhexung;Stunce-a. (5..80 secunds.) Zee next hex aegaeeenst yuoo faeeels und zee caester taekes 10..46 daemaege-a.;0;2;29;5;0;5;0;15;0;0;0;0;0;0;0;
11;Deesturshun;Verzerrung;Stunce-a. (1..5 secunds.) Yuoo haefe-a 75% chunce-a tu bluck. Bluck cust: yuoo luse-a 2 Inergy oor Deesturshun inds.;1;1;29;5;0;5;0;8;0;0;0;0;0;0;0;
13;Muntra ooff Recufery;Mantra der Erholung;Ileete-a Stunce-a. (5..20 secunds.) Yuoor spells rechaerge-a 33% faester.;0;0;29;5;0;5;0;15;0;0;1;0;0;0;0;
14;Muntra ooff Perseestence-a;Mantra des Bestehens;Stunce-a. (5..25 secunds.) Illooseeun hexes yuoo caest laest 10..40% lunger.;0;3;29;5;0;5;0;15;0;0;0;0;0;0;0;
15;Muntra ooff Inscreepshuns;Mantra der Inschriften;Stunce-a. (5..25 secunds.) Seegnets yuoo sooccessffoolly aecteefaete-a vheele-a in thees stunce-a rechaerge-a 10..40% faester.;0;3;29;5;0;10;0;20;0;0;0;0;0;0;0;
16;Muntra ooff Cuncentraeshun;Mantra der Konzentration;Stunce-a. (1..38 secunds.) Zee next teeme-a yuoo vuoold be-a interroopted, yuoo aere-a nut interroopted.;1;3;29;5;0;5;0;30;0;0;0;0;0;0;0;
17;Muntra ooff Resulfe-a;Mantra des Abschlusses;Stunce-a. (30..90 secunds.) Prefents interroopts aegaeeenst yuoo. Prefenshun cust: luse-a 10..4 Inergy oor Muntra ooff Resulfe-a inds.;0;3;29;5;0;10;0;20;0;0;0;0;0;0;0;
18;Muntra ooff Seegnets;Mantra der Siegel;Stunce-a. (10..40 secunds.) Yuoo haefe-a +3 aermur fur iaech seegnet. Yuoo gaeeen 5..60 Heaelt iaech teeme-a yuoo use-a a seegnet.;1;3;29;5;0;5;0;20;0;0;0;0;0;0;0;
19;Fraegeeleety;Zerbrechlichkeit;Hex Spell. Aelsu hexes fues aedjaecent tu taerget (8..20 secunds). Zeese-a fues taeke-a 5..20 daemaege-a iaech teeme-a zeey gaeeen oor luse-a a cundeeshun.;0;1;24;5;0;5;1;5;0;0;0;0;0;0;0;
21;Inspured Inchuntment;Inspirierte Verzauberung;Spell. Remufes un inchuntment frum taerget fue-a. Remufael iffffects: yuoo gaeeen 3..15 Inergy. thees spell is replaeced veet thaet inchuntment (20 secunds).;1;3;22;5;0;10;1;0;0;0;0;0;0;0;0;
