0;Kein Skill;No Skill;Leerer Slot;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0
175;Abwehr gegen Elemente;Ward Against Elements;Ihr erzeugt an Eurer aktuellen Position eine Abwehr gegen Elemente. 8..20 Sekunden lang erhalten Gruppenmitglieder, die keine Geister sind, in dem Bereich +24 Rüstung gegen Elementarschaden.;1;9;26;6;0;15;1;20;0;0;0;0;0;0;0
177;Abwehr gegen Feinde;Ward Against Foes;Ihr erzeugt an Eurer aktuellen Position eine Abwehr gegen Feinde. 8..20 Sekunden lang bewegen sich Gegner, die keine Geister sind, in diesem Bereich um 50% langsamer.;0;9;26;6;0;15;1;20;0;0;0;0;0;0;0
176;Abwehr gegen Nahkampf;Ward Against Melee;Ihr erzeugt an Eurer aktuellen Position eine Abwehr gegen Nahkampf. 5..20 Sekunden lang haben Gruppenmitglieder, die keine Geister sind, in diesem Bereich eine 50%ige Chance, Nahkampfangriffe zu blocken.;0;9;26;6;0;15;1;30;0;0;0;0;0;0;0
239;Abwehr gegen Schaden (PvP);Ward Against Harm (PvP);Errichtet an dieser Position eine Abwehr gegen Schaden. 5..15 Sekunden lang erhalten in diesem Bereich befindliche Verbündete, die keine Geister sind, +1..3 Lebenspunktregeneration, +12..24 Rüstung und zusätzlich +12..24 Rüstung gegen Elementarschaden. Dieser Zauber wird 30 Sekunden lang deaktiviert.;1;11;26;6;0;15;1;30;0;0;1;0;0;0;0
189;Anrufung von Rodgort;Rodgort's Invocation;Der Gegner und alle Feinde in der Nähe erleiden 15..120 Punkte Feuerschaden und werden 1..3 Sekunden lang in Brand gesetzt.;1;10;22;6;0;25;2;8;0;0;0;0;0;0;0
1085;Aschenexplosion;Ash Blast;Umstehende Feinde erleiden 35..65 Punkte Erdschaden. Brennende Feinde, die durch Aschenexplosion getroffen werden, werden für 5 Sekunden verhext und haben eine 20..75%ige Wahrscheinlichkeit, ihr Ziel zu verfehlen.;2;9;24;6;0;5;1;15;0;0;0;0;0;0;0
844;Aufgeworfene Erde;Churning Earth;Am Standort des Feindes wird Aufgeworfene Erde erzeugt. In den nächsten 5 Sekunden bewirkt Aufgeworfene Erde bei Feinden in der Nähe des Ortes pro Sekunde 10..40 Punkte Erdschaden. Jeder Feind, der sich schneller als normal bewegt, wenn er von Aufgeworfene Erde getroffen wird, wird zu Boden geworfen.;2;9;22;6;0;15;2;30;0;0;0;0;0;0;0
1367;Blendende Welle;Blinding Surge;Der Gegner erleidet 5..50 Punkte Blitzschaden. Der Gegner und alle umstehenden Feinde werden 3..8 Sekunden lang geblendet. Dieser Zauber hat eine Rüstungsdurchdringung von 25%. Wenn dieser Zauber einen angreifenden Gegner trifft, werden alle umstehenden Feinde ebenfalls getroffen und dieser Zauber richtet 50% mehr Schaden an.;3;8;22;6;0;10;.75;6;0;0;1;0;0;0;0
1664;Blitz herbeirufen;Invoke Lightning;Der Gegner, ein Feind in seiner Nähe und ein weiterer Feind in der Nähe von letzterem erleiden 10..90 Punkte Blitzschaden. Dieser Zauber hat eine Rüstungsdurchdringung von 25%.;3;8;22;6;0;10;1;6;0;0;1;0;5;0;0
